"election"	"state"	"year"	"pollName"	"startDate"	"endDate"	"numberOfRespondents"	"democratic"	"republican"	"someoneElse"	"undecided"	"refuseToAnswer"	"populationType"	"Mode"	"electionDate"	"finalTwoPartyVSDemocratic"	"finalTwoPartyVSRepublican"
"Pres"	"AL"	2004	"SurveyUSA "	NA	"2004-10-27"	735	39	57	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"Capital Survey "	NA	"2004-10-14"	645	32	56	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"SurveyUSA "	NA	"2004-10-03"	699	34	62	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"Mobile Register "	NA	"2004-09-30"	619	22	59	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"ARG "	NA	"2004-09-16"	699	40	54	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"Rasmussen "	NA	"2004-09-14"	527	42	53	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"Capital Survey "	NA	"2004-08-31"	585	34	54	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"SUSA "	NA	"2004-08-23"	698	37	58	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"Capital Survey "	NA	"2004-07-28"	689	34	56	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"Capital Survey "	NA	"2004-05-20"	881	37	56	NA	NA	NA	"RV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"Mobile Register/USA "	NA	"2004-05-13"	511	29	54	NA	NA	NA	"RV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AL"	2004	"SUSA "	NA	"2004-05-04"	840	36	55	NA	NA	NA	"LV"	NA	"2004-11-02"	37.09969789	62.90030211
"Pres"	"AR"	2004	"SurveyUSA "	NA	"2004-11-01"	649	46	51	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"SurveyUSA "	NA	"2004-10-31"	745	48	48	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Mason-Dixon "	NA	"2004-10-29"	724	43	51	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
