state	pollName	year	startDate	endDate	numberOfRespondents	democratic	republican	someoneElse	undecided	refuseToAnswer	finalTwoPartyVSDemocratic	finalTwoPartyVSRepublican	election	electionDate
NV	Fairbank, Maslin, Maullin, Metz & Associates	1998	NA	1998-10-13	1418	49	44	NA	NA	NA	50.0522684508	49.9477315492	Sen	1998-11-03
NY	Blum & Weprin Associates	1998	NA	1998-10-13	364	44	52	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
NY	Garin-Hart-Yang Research Group	1998	NA	1998-10-13	902	46	42	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
OH	University of Cincinnati (Ohio Poll)	1998	NA	1998-10-13	540	34	62	NA	NA	NA	43.5343534353	56.4656465647	Sen	1998-11-03
AZ	Behavior Research Center (Rocky Mountain)	1998	NA	1998-10-14	519	31	53	NA	NA	NA	36.7875647668	63.2124352332	Gov	1998-11-03
IA	Talmey-Drake Research & Strategy, Inc.	1998	NA	1998-10-14	408	40	48	NA	NA	NA	52.9352226721	47.0647773279	Gov	1998-11-03
IL	WCIA-TV	1998	NA	1998-10-14	401	32	58	NA	NA	NA	48.2233502538	51.7766497462	Gov	1998-11-03
NE	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-14	828	34	54	NA	NA	NA	46.046046046	53.953953954	Gov	1998-11-03
WI	St. Norbert College	1998	NA	1998-10-14	269	35	59	NA	NA	NA	39.3292682927	60.6707317073	Gov	1998-11-03
AZ	Behavior Research Center (Rocky Mountain)	1998	NA	1998-10-14	519	18	60	NA	NA	NA	28.3211678832	71.6788321168	Sen	1998-11-03
IL	WCIA-TV	1998	NA	1998-10-14	401	37	54	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
WI	St. Norbert College	1998	NA	1998-10-14	415	47	40	NA	NA	NA	51.0864072764	48.9135927236	Sen	1998-11-03
NY	Zogby Analytics, telephone	1998	NA	1998-10-15	706	21	53	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
WI	University WisconsinÑMilwaukee	1998	NA	1998-10-15	415	28	63	NA	NA	NA	39.3292682927	60.6707317073	Gov	1998-11-03
GA	University of Georgia	1998	NA	1998-10-15	500	29	46	NA	NA	NA	46.298195242	53.701804758	Sen	1998-11-03
NY	Zogby Analytics, telephone	1998	NA	1998-10-15	706	37	42	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
WI	University WisconsinÑMilwaukee	1998	NA	1998-10-15	269	46	44	NA	NA	NA	51.0864072764	48.9135927236	Sen	1998-11-03
